Material Name,Material Title,Material Synonyms,Stream Name,Stream Title,Drop Off Instructions,Special Instructions
duct_tape,Duct tape (used),ducttape; duck tape,wizard_garbage,Garbage collection,,
ceiling_fan,Ceiling fan,,reuse,Reuse,,
weeds,Weeds (invasive),", thistle, creeping bellflower",wizard_garbage,Garbage collection,,"Mixing invasive (regulated) weeds with your other yard waste risks spreading the seeds. Pull the weeds from the root and put them in the garbage. Visit the <a href=""https://www.edmonton.ca/programs_services/pests/weed-identification.aspx"" Weed Identification page for help identifying invasive weeds."
cardboard,Cardboard,"cardboard packaging, corrugated cardboard, corrugated cardboard, amazon boxes",wizard_recycling_depots,Recycling Depot drop-off,,"If cardboard pieces are too large for a blue bag, bundle (tie with string or twine) and place underneath the bag.<br /><br />Bundles must be less than 1.2 m (4 ft) long."
cardboard,Cardboard,"cardboard packaging, corrugated cardboard, corrugated cardboard, amazon boxes",wizard_recycling,Recycling collection,,"If cardboard pieces are too large for a blue bag, bundle (tie with string or twine) and place underneath the bag.<br /><br />Bundles must be less than 1.2 m (4 ft) long."
plastic_bag,Plastic bag,"Stretch test, plastic baggie, kitchen garbage bag, grocery bag, dry cleanning bag, frozen fruit bag, carrot bag, cat treat bag, vegetable bag, plastic produce bag, grape bag, grass seed bags, garbage bag, frozen fries bag, grocery bag, water softener salt bag, rice bag, produce bag, shredded cheese bag, water softerner salt bags, plastic bag for potatoes",,,,"Pull on the plastic bag. Does it pass the stretch test?  If its stretchy, recycle it! This includes grocery bags, bread bags, produce bags, dry cleaner bags and sandwich bags. Stuff plastic bags into one bag and tie closed. This makes them easier to sort and recycle. If it doesnt stretch, its garbage. This includes cereal bags, pre-washed salad bags, cracker bags and stand-up pouches."
paper_egg_carton,Egg carton (paper),"Cardboard egg carton, egg tray",wizard_recycling_depots,Recycling Depot drop-off,,
tea_loose,Tea (loose),tea leaves,wizard_home_composting,Compost at home,,
fruit_pit,Fruit pit,"mango pit, fruit seed, peach pit, avocado pit, plum pit, lychee pit, apricot pit, nectarine pit, avacado pit, olive pits, olive pits, avocado pit",wizard_food_scraps_collection_test,Food scraps collection,,
pet_food_can,Pet food can,"cat food can, dog food can",wizard_recycling,Recycling collection,,"Please rinse. Lables OK. Remove lid, drop into can and squeeze top slightly to keep lid inside."
couch,Couch,"Sofa, chesterfield",reuse,Reuse,,
plastic_produce_bag,Produce bag (plastic),", apple bag",wizard_recycling,Recycling collection,,Stuff plastic bags into one bag and tie closed. This makes them easier to sort and recycle.
vitamins,Vitamins,,wizard_contact_pharmacy,Pharmacy drop-off,,
boost_drink_bottle,Boost drink bottle,,wizard_recycling_depots,Recycling Depot drop-off,,Remove bottle cap and place separately in garbage.
corn_husk,Corn husk,,wizard_home_composting,Compost at home,,
flowers_dead_or_alive,Flowers (dead or alive),"fresh flowers, cut flowers, petals, flower, roses, poinsettia",wizard_home_composting,Compost at home,,
watch,Watch,"time piece, pocket watch, wrist watch, smart watch",eco_station_-_electronics_appliances,Eco Station drop-off (electronics & appliances),,"Remove watch battery and take it to an <a href=""https://www.edmonton.ca/programs_services/garbage_waste/eco-stations.aspx"">Eco Station."
cracker,Crackers,"cracker, goldfish crackers, Ritz, Breton, wheat thins, gold fish crackers",wizard_food_scraps_collection_test,Food scraps collection,,
hangers_plastic,Clothes hanger (plastic),"Plastic coat hanger,",reuse,Reuse,,
fish,Fish,"salmon, tuna, haddock, capelin, pollock, herring, mackerel, sole, trout, pike, perch, sardine, anchovy , fishbone",wizard_food_scraps_collection_test,Food scraps collection,,
hangers_wire,Clothes hanger (metal),Wire hanger,wizard_garbage,Garbage collection,,
seafood,Seafood and shells,"shrimp, oyster, clam, mussels, fish, salmon, shellfish, mussel shells, sea shells, crab shell, shrimp tails, oyster",wizard_food_scraps_collection_test,Food scraps collection,,
vegetables,Vegetable scraps,"Potatoe peel, salad, corn cobs, olives, sweet potato, spaghetti squash, butternut squash, banana squash, kabocha squash, crookneck squash, sweet potato squash, acorn squash, peanuts, lentils, avocado, husks, arugula, cores, peels, potato, celery, pepper, carrot, mushroom, carrots, tomatoes, cabbage. broccoli, squash, pumpkin, avocado, leeks, zucchini, hot peppers, legumes, peas, beans, sprouts, brussel sprouts, beets, pickle, cauliflower, garlic, egg plant, asperges, green onions, cucumber, spinach, artichoke, corn husks, lentils, lettuce, onion skins, onion, corn on the cob, lentils, veg peels, mushroom, mushrooms",wizard_food_scraps_collection_test,Food scraps collection,,
tea_loose,Tea (loose),tea leaves,wizard_food_scraps_collection_test,Food scraps collection,,
chair,Chair,,reuse,Reuse,,
office_supplies,Office supplies,"staples, paper clips, plastic folders, tacks, duotangs, pencils, pencil leads, whiteout, notebook",wizard_garbage,Garbage collection,,
toothpick,Toothpick (wood),"Tooth pick, skewers, toothpick",wizard_food_scraps_collection_test,Food scraps collection,,
hangers_wire,Clothes hanger (metal),Wire hanger,eco_station_-_scrap_metal_recycling,Eco Station drop-off (scrap metal),,
jam,Jam,"jelly, marmalade, fruit preserves",wizard_food_scraps_collection_test,Food scraps collection,,
beans_and_lentils,Beans and lentils,,wizard_food_scraps_collection_test,Food scraps collection,,
natural_wood_shavings,Natural wood shavings,,wizard_food_scraps_collection_test,Food scraps collection,,
curry,Curry,,wizard_food_scraps_collection_test,Food scraps collection,,
apples,Apple,"apples, apple core",wizard_home_composting,Compost at home,,
metal_cabinet,Metal cabinet,file cabinet,eco_station_-_scrap_metal_recycling,Eco Station drop-off (scrap metal),,
stucco,Stucco,,edmonton_waste_management_centre_ewmc,EWMC drop-off,,
ribbons_bows,Ribbons and bows,wrapping bows,drop-off_-_reuse_centre,Reuse Centre drop-off,,
floral_arranging_supplies,Floral arranging supplies,"Flower picks, floral styrofoam",wizard_garbage,Garbage collection,,
yeast_expired,Yeast (expired),,wizard_food_scraps_collection_test,Food scraps collection,,Remove yeast from packaging before placing in food scraps cart. Place packaging in garbage (paper envelope) or recycling (glass jar).
oven_cleaner,Oven cleaner,stove cleaner,wizard_eco_station_-_household_hazardous_waste,Eco Station drop-off (household hazardous waste),,
magazine,Magazine,"Magizine,",wizard_recycling_depots,Recycling Depot drop-off,,
gift_bag_paper_cardboard,"Gift box (paper, cardboard)",,wizard_recycling_depots,Recycling Depot drop-off,,
flashlight,Flashlight,flash light,eco_station_-_electronics_appliances,Eco Station drop-off (electronics & appliances),,
hot_glue_gun_sticks,Hot glue gun sticks,"glue gun sticks,",drop-off_-_reuse_centre,Reuse Centre drop-off,,
plastic_bank_card,Plastic bank card,credit card,wizard_garbage,Garbage collection,,
pop_can,Pop can,"Soda can, aluminum can,",bottle_depot,Bottle Depot drop-off,,
painting_canvas,Painting canvas,"painter sheet, canvass, paint canvas, painting",drop-off_-_reuse_centre,Reuse Centre drop-off,,
plastic_spray_bottle,Plastic spray bottle,"Windex,",wizard_recycling,Recycling collection,,Remove spray nozzle and put it in your garbage.
firepit,Fire pit (metal),,eco_station_-_scrap_metal_recycling,Eco Station drop-off (scrap metal),,
pet_food,Pet food,", pet snacks, animal food, dog food, cat food, bird seed, acana, puppy chow, bird seed",wizard_food_scraps_collection_test,Food scraps collection,,
bricks,Bricks,,edmonton_waste_management_centre_ewmc,EWMC drop-off,,
clothes,Clothes,"textiles, pants, socks, t-shirt, t shirt, shorts, clothing, baseball hat, belt, jeans, polyester, running jacket, bib, pajamas, scarf, shirt, coat, Denim, leggings, bra, worn out clothing, dress, torn clothes, snow pants, gloves, underwear,",reuse,Reuse,,
curtains,Curtains,"drapes, drapery",wizard_garbage,Garbage collection,,
appliance_large,Appliance (large),"stove, heater, generator, freezer, , gas range, dishwasher",reuse,Reuse,,"A <a href=""http://edmonton.ca/ecostation"">$20 fee applies for appliances requiring CFC removal (e.g. fridge)."
steam_cleaner,Steam cleaner,,eco_station_-_electronics_appliances,Eco Station drop-off (electronics & appliances),,
bicycle,Bicycle,bike,eco_station_-_scrap_metal_recycling,Eco Station drop-off (scrap metal),,"<a href=""https://bikeedmonton.ca/"">Bike Edmonton accepts donations of used bicycles and bicycle parts in working condition."
drink_can_tab,Drink can tab,"Pull tab, pop tops, ring pull, pop can tab, beer can tab,",drop-off_-_reuse_centre,Reuse Centre drop-off,,
popcorn,Popcorn and kernels,"microwave popcorn, movie theatre popcorn, kettlecorn, kettle corn,",wizard_food_scraps_collection_test,Food scraps collection,,
chopstick,Chopstick (wood),", chop sticks",wizard_food_scraps_collection_test,Food scraps collection,,
mousepad,Mousepad,"mouse pad,",reuse,Reuse,,
desk,Desk,,reuse,Reuse,,
deodorant,Deodorant,", deoderant, deorderant, antiperspirant, deodorant container",wizard_garbage,Garbage collection,,
tissue_paper,Tissue paper,Tissuepaper,wizard_garbage,Garbage collection,,
mattress,Mattress,"matresses, mattess, bed,",eco_station_-_bulky_item,Eco Station drop-off (fees apply),,
classroom_decorations,Classroom decorations,,drop-off_-_reuse_centre,Reuse Centre drop-off,,
basket_filler,Basket filler,"Crinkle Paper, raffia, confetti paper, basket liner",drop-off_-_reuse_centre,Reuse Centre drop-off,,
grass_clippings,Grass clippings,"grass, grass, green glass, green glass, lawn, lawn clipping",wizard_seasonal_yard_waste_collection_test,Seasonal yard waste collection,,
tire_rims,Tire rim,,eco_station_-_scrap_metal_recycling,Eco Station drop-off (scrap metal),,
ceiling_tiles,Ceiling tiles,,edmonton_waste_management_centre_ewmc,EWMC drop-off,,
dishwasher,Dishwasher,,reuse,Reuse,,
candy_tin,Candy tin,"metal tin, candy container",wizard_recycling,Recycling collection,,
plastic_baggie,Ziploc bag,"ziploc, zip lock, snack bag, sandwich bag, resealable bag, zipper bag, resealable food bag, plastic zip bag, baggie",wizard_recycling_depots,Recycling Depot drop-off,,Stuff plastic bags into one and tie closed. This makes them easier to sort.<br />
applesauce_cup,Applesauce cup,apple sauce cup,wizard_garbage,Garbage collection,,
computer_keyboard,Computer keyboard,,reuse,Reuse,,
smoke_detector,Smoke detector,,eco_station_-_electronics_appliances,Eco Station drop-off (electronics & appliances),,
bubble_wrap,Bubble wrap,bubblewrap,drop-off_-_reuse_centre,Reuse Centre drop-off,,
freezer,Freezer,deep freeze,wizard_eco_station_cfc_appliance,Eco Station drop-off (CFC appliances),,
cookie_tins,Cookie tin,"royal dansk tin, butter cookie tin, biscuit tin, mint tin, metal cookie tin",wizard_recycling_depots,Recycling Depot drop-off,,
wine_bottle,Wine bottle,,bottle_depot,Bottle Depot drop-off,,
pasta,Pasta,"noodles, orzo, semolina, macaroni, spaghetti, manicotti, , noodle, sphagetti, tortellini",wizard_food_scraps_collection_test,Food scraps collection,,
newspaper,Newspaper,"newsprint,",wizard_recycling_depots,Recycling Depot drop-off,,
mercury_thermometer,Thermometer (mercury),,wizard_eco_station_-_household_hazardous_waste,Eco Station drop-off (household hazardous waste),,
cereal_box,Cereal box,,wizard_recycling_depots,Recycling Depot drop-off,,Remove plastic liner and place it in the garbage.
film_canister_plastic,Film canister,,wizard_garbage,Garbage collection,,"Film canisters with lids are accepted for donation at the <a href=""https://www.edmonton.ca/programs_services/garbage_waste/reuse-centre.aspx"">Reuse Centre."
plastic_baggie,Ziploc bag,"ziploc, zip lock, snack bag, sandwich bag, resealable bag, zipper bag, resealable food bag, plastic zip bag, baggie",wizard_recycling,Recycling collection,,Stuff plastic bags into one and tie closed. This makes them easier to sort.<br />
mug,Mug,,reuse,Reuse,,
marshmallow,Marshmallow,"marshmallows, marshmellow",wizard_food_scraps_collection_test,Food scraps collection,,
bakeware_metal,Bakeware (metal),"baking sheets, cookie sheets, moulds, molds, angel food cake pan, cookie sheet",wizard_garbage,Garbage collection,,
lip_balm_container,Lip balm container,chaptick,wizard_garbage,Garbage collection,,
paper_plate,Paper plate,", Paper dishes, Paper dish, disposable plates, royal chinet plates",wizard_garbage,Garbage collection,,"New/unused paper plates can be taken to the <a href=""http://edmonton.ca/reusecentre"">Reuse Centre."
freezer_paper,Freezer paper,,wizard_garbage,Garbage collection,,
stucco,Stucco,,eco_station_-_bulky_item,Eco Station drop-off (fees apply),,
stapler,Stapler,,drop-off_-_reuse_centre,Reuse Centre drop-off,,
ironing_board,Ironing board,,reuse,Reuse,,
plastic_produce_bag,Produce bag (plastic),", apple bag",wizard_recycling_depots,Recycling Depot drop-off,,Stuff plastic bags into one bag and tie closed. This makes them easier to sort and recycle.
lotion_tube,Lotion tube,", plastic hand cream tube",wizard_garbage,Garbage collection,,
pizza,Pizza,"pizza crust, old pizza",wizard_food_scraps_collection_test,Food scraps collection,,Remember! Pizza boxes should go in your recycling. A few grease spots are OK. Liners should be removed and placed in your garbage.
maps_paper,Maps (paper),,wizard_recycling_depots,Recycling Depot drop-off,,
door,Door,"screen door,",wizard_reuse_-_building_materials,Reuse (home renovation materials),,
ceramic_tiles_small_number,Ceramic tiles,", Floor tile, Ceramic tile",eco_station_-_bulky_item,Eco Station drop-off (fees apply),,"Small tiles are accepted for donation at the <a href=""https://www.edmonton.ca/programs_services/garbage_waste/reuse-centre.aspx"">Reuse Centre."
thermos,Thermos,,reuse,Reuse,,
wig,Wig,"Costume, Halloween",reuse,Reuse,,
brochure,Brochure,"pamphlet, leaflet, handbill,",wizard_recycling,Recycling collection,,
single-serve_coffee_pod_disk,Coffee pod,"coffee disc, coffee capsules, coffee pods, kuerig, nespresso, tassimo, kcups, coffee cartridges, tdiscs, K cups, Mcdonalds coffee pod, biodegradable kcup, coffeepods",wizard_garbage,Garbage collection,,
bicycle,Bicycle,bike,reuse,Reuse,,"<a href=""https://bikeedmonton.ca/"">Bike Edmonton accepts donations of used bicycles and bicycle parts in working condition."
craft_paint,Craft paint,acrylic paint,drop-off_-_reuse_centre,Reuse Centre drop-off,,
plastic_table_cloth,Plastic table cloth,,wizard_garbage,Garbage collection,,
